Name,Address,Longitude,Latitude,ZipCodeId
UNEEDA BURGER,4302 FREMONT AVE N,-122.34976463,47.65953166,1
UNDERGROUND AND CO,323 1ST AVE S,-122.23388695,47.59939044,11
UNDERBELLY,119 1ST AVE S # LL2,-122.334524,47.60102305,11
UNCLE LEE'S KITCHEN,5408 SAND POINT WAY NE,-122.27697434,47.66813381,17
UNCLE EDDIE'S,8601 14TH AVE S,-122.31511354,47.52631673,2
UN BIEN,6226 SEAVIEW AVE NW,-122.4061344835,47.6748099223,21
UMINORI,2106 E MADISON ST,-122.30402679,47.61831926,14
UMI SAKE HOUSE,2230 1ST AVE,-122.34596732,47.6133906134,16
UMAMI KUSHI LLC,9099 SEWARD PARK AVE S,-122.26329543,47.52043842,13
UMAI SUSHI & TERIYAKI,91 PIKE ST,-122.3402044743,47.6086568333,15
ULI' S FAMOUS SAUSAGE,1511 PIKE PL,-122.3407878298,47.6086383642,15
UGLY MUG CAFE,1309 NE 43RD ST,-122.3139420249,47.6596381114,17
UBER,7517 AURORA AVE N,-122.3448432106,47.68382663,1
U:DON FRESH,4515 UNIVERSITY WAY NE,-122.313536767,47.6618262676,17
U: DON LLC,1640 12TH AVE,-122.31653301,47.61587555,0
U DUPBOP,4124 UNIVERSITY WAY NE,-122.3129924932,47.6572165667,17
TYTY MARKET,9417 16TH AVE SW,-122.3554454949,47.5186578048,18
TYRANNO LLC DBA HAPPY LEMON,2245 8TH AVE R1 1A,-122.34032,47.61751,16
TYLY GIFTS AND SNACK CORNER,1201 3RD AVE STE #380,-122.33594,47.607179,15
TYGER TYGER,114 REPUBLICAN ST,-122.35475547,47.62343273,7
TWO SCHOOLS,2100 S WALKER ST,-122.30494149,47.58400997,19
TWO FINGERS WORTH LLC DBA SMITH,332 15TH AVE E,-122.3125251052,47.6215332767,14
TWO DOORS DOWN,2332 E MADISON ST,-122.30148853,47.62006045,14
TWITTER CAFE  ( FOR INTERNAL EMPLOYEE USE ONLY),1501 4TH AVE STE 1900,-122.33740102,47.6101828,15
TWIST CATERING COMPANY,4634 E MARGINAL WAY E120,-122.36436,47.67616,23
TWILIGHT ON RAINIER,5609 RAINIER AVE S,-122.27820202,47.55165189,13
TWILIGHT EXIT,2514 E CHERRY ST,-122.2994071866,47.6081877177,0
TWICE BURGER,701 5TH AVE 112B,-122.3306146424,47.6045269408,11
TUTTA BELLA NEAPOLITAN PIZZERIA (KC489),4918 RAINIER AVE S,-122.34245514,47.66034931,13
